Päivämäärä;Huopalahti (asema);Kaisaniemi;Kulosaaren silta et.;Kulosaaren silta po. ;Kuusisaarentie;Lauttasaaren silta eteläpuoli;Merikannontie;Munkkiniemen silta eteläpuoli;Munkkiniemi silta pohjoispuoli;Heperian puisto (Ooppera);Pitkäsilta itäpuoli;Pitkäsilta länsipuoli;Lauttasaaren silta pohjoispuoli;Ratapihantie;Eteläesplanadi;Baana
su 12 heinä 2015 20:00;43;41;0;111;45;89;88;4;73;112;76;39;45;67;46;69
su 12 heinä 2015 21:00;24;34;0;48;42;38;74;0;53;59;46;47;30;36;22;20
su 12 heinä 2015 22:00;14;24;0;33;18;33;31;0;22;46;34;26;16;25;11;20
su 12 heinä 2015 23:00;8;17;0;16;2;11;11;0;16;20;21;24;6;14;15;18
ma 13 heinä 2015 00:00;4;3;0;9;4;22;12;0;10;26;23;24;8;7;12;17
ma 13 heinä 2015 01:00;2;1;2;10;3;2;2;0;1;6;8;13;2;2;2;3
ma 13 heinä 2015 02:00;6;5;0;6;0;5;1;0;2;2;2;9;1;5;2;3
ma 13 heinä 2015 03:00;2;0;0;4;1;2;1;0;2;8;8;12;0;1;0;4
ma 13 heinä 2015 04:00;11;3;1;16;7;3;2;0;1;5;9;4;1;8;3;3
ma 13 heinä 2015 05:00;20;8;0;40;9;23;14;0;13;13;14;7;8;34;2;31
ma 13 heinä 2015 06:00;108;34;0;118;66;70;65;0;95;74;41;15;44;128;23;94
ma 13 heinä 2015 07:00;167;98;0;164;131;150;182;1;208;164;107;21;98;270;68;206
ma 13 heinä 2015 08:00;192;157;0;190;120;202;123;0;150;269;160;46;119;284;118;288
ma 13 heinä 2015 09:00;80;104;0;148;76;150;125;0;83;186;154;44;74;125;115;189
ma 13 heinä 2015 10:00;36;74;0;111;62;123;75;1;75;151;111;54;54;83;104;138
ma 13 heinä 2015 11:00;56;61;0;129;57;150;100;1;79;166;134;67;71;121;102;152
ma 13 heinä 2015 12:00;68;79;0;148;49;138;121;1;81;187;151;96;60;111;106;135
ma 13 heinä 2015 13:00;45;84;0;158;58;147;121;1;94;144;157;79;67;110;130;157
ma 13 heinä 2015 14:00;82;106;0;164;86;147;160;1;77;188;185;102;58;136;124;187
ma 13 heinä 2015 15:00;147;153;0;272;127;201;221;2;180;247;227;118;114;237;147;264
ma 13 heinä 2015 16:00;198;208;1;292;190;292;259;5;236;352;274;132;172;371;195;332
ma 13 heinä 2015 17:00;194;173;0;278;136;298;197;2;205;316;229;134;141;281;172;295
ma 13 heinä 2015 18:00;87;146;0;236;111;217;205;2;146;281;196;107;118;215;146;235
ma 13 heinä 2015 19:00;58;92;0;144;87;160;181;7;117;179;147;89;88;104;94;147
ma 13 heinä 2015 20:00;63;92;0;162;82;168;163;1;110;187;136;86;86;108;87;162
ma 13 heinä 2015 21:00;41;37;0;97;34;107;69;2;64;110;76;45;61;81;39;97
ma 13 heinä 2015 22:00;35;19;0;52;23;40;35;2;28;77;48;43;19;49;33;53
ma 13 heinä 2015 23:00;7;18;0;29;4;25;18;1;15;37;28;25;20;27;18;33
ti 14 heinä 2015 00:00;3;5;0;9;2;16;6;1;9;23;13;10;7;14;15;12
ti 14 heinä 2015 01:00;2;8;0;7;2;9;5;0;4;9;5;10;3;5;6;4
ti 14 heinä 2015 02:00;3;0;1;5;0;5;2;0;3;7;6;5;3;1;3;6
ti 14 heinä 2015 03:00;1;2;0;4;1;1;0;0;0;4;4;1;5;3;1;4
ti 14 heinä 2015 04:00;10;3;0;12;6;2;1;0;0;5;10;1;1;8;2;2
ti 14 heinä 2015 05:00;23;8;0;28;14;21;14;0;17;11;16;11;9;40;7;22
ti 14 heinä 2015 06:00;116;42;0;137;62;64;77;0;94;95;57;13;46;162;21;117
ti 14 heinä 2015 07:00;181;133;0;197;121;147;184;0;216;173;115;32;100;259;78;209
ti 14 heinä 2015 08:00;172;151;0;210;117;210;153;2;153;276;171;56;124;270;142;296
ti 14 heinä 2015 09:00;86;82;0;132;80;157;108;1;99;208;169;55;89;142;109;194
ti 14 heinä 2015 10:00;56;108;0;118;64;131;95;0;83;153;126;44;78;103;91;132
ti 14 heinä 2015 11:00;55;77;0;162;54;139;117;2;91;164;151;88;62;96;121;161
ti 14 heinä 2015 12:00;65;107;0;159;86;173;150;3;101;185;168;83;76;129;134;193
ti 14 heinä 2015 13:00;82;91;0;209;88;175;154;1;120;176;162;94;58;156;150;191
ti 14 heinä 2015 14:00;98;110;0;181;98;182;165;1;114;250;209;111;79;143;134;226
ti 14 heinä 2015 15:00;160;173;0;257;142;217;250;1;251;313;254;144;124;279;134;265
ti 14 heinä 2015 16:00;224;225;0;367;178;298;320;6;281;374;322;159;186;333;230;355
ti 14 heinä 2015 17:00;158;205;0;314;181;309;270;1;199;421;292;139;172;261;207;356
ti 14 heinä 2015 18:00;107;144;0;269;140;219;271;4;168;268;211;160;138;198;133;275
ti 14 heinä 2015 19:00;77;126;0;245;118;216;190;2;114;257;162;121;97;149;99;216
ti 14 heinä 2015 20:00;60;91;0;175;90;157;204;1;123;190;162;118;118;138;97;189
ti 14 heinä 2015 21:00;53;82;0;136;65;107;97;2;86;124;113;71;46;84;75;118
ti 14 heinä 2015 22:00;32;39;0;80;30;57;71;3;45;83;54;34;43;55;48;64
ti 14 heinä 2015 23:00;14;22;0;34;8;42;32;0;15;50;46;45;22;32;21;31
ke 15 heinä 2015 00:00;4;13;0;18;3;25;9;0;12;32;33;27;8;13;15;22
ke 15 heinä 2015 01:00;4;6;0;10;2;6;9;0;3;15;22;12;2;11;7;6
ke 15 heinä 2015 02:00;0;5;0;9;1;3;5;0;5;4;9;22;1;1;5;4
ke 15 heinä 2015 03:00;3;6;0;3;1;3;3;1;2;8;6;6;0;4;2;5
ke 15 heinä 2015 04:00;8;8;0;11;2;4;2;0;0;7;6;6;2;7;0;3
ke 15 heinä 2015 05:00;32;7;0;39;14;24;16;0;12;13;15;13;6;39;6;23
ke 15 heinä 2015 06:00;106;44;0;127;74;77;85;0;100;87;47;21;53;143;27;116
ke 15 heinä 2015 07:00;188;103;0;232;149;149;196;0;213;180;103;35;104;285;88;219
ke 15 heinä 2015 08:00;181;164;0;220;117;217;174;2;169;277;167;51;123;275;118;329
ke 15 heinä 2015 09:00;80;132;0;163;94;151;119;1;99;237;163;80;122;161;146;222
ke 15 heinä 2015 10:00;60;98;0;150;82;154;119;0;72;162;142;78;62;110;123;173
ke 15 heinä 2015 11:00;72;95;0;174;100;161;179;1;101;203;166;82;77;147;153;176
ke 15 heinä 2015 12:00;89;115;0;226;94;213;203;4;106;321;181;101;92;181;115;199
ke 15 heinä 2015 13:00;89;122;0;225;160;225;195;2;122;252;191;115;75;135;176;201
ke 15 heinä 2015 14:00;104;129;0;224;118;243;247;0;139;241;184;122;97;203;158;227
ke 15 heinä 2015 15:00;187;147;0;340;176;308;369;3;227;334;266;146;135;276;171;332
ke 15 heinä 2015 16:00;229;260;0;453;202;360;346;2;248;456;315;162;189;377;240;425
ke 15 heinä 2015 17:00;197;181;0;404;203;324;373;0;257;394;285;180;189;243;237;390
ke 15 heinä 2015 18:00;133;174;0;384;148;278;318;3;189;343;232;141;148;208;211;290
ke 15 heinä 2015 19:00;110;122;0;284;125;257;267;4;172;282;210;111;94;134;141;235
ke 15 heinä 2015 20:00;95;109;0;244;114;210;271;3;133;256;148;130;110;168;121;207
ke 15 heinä 2015 21:00;44;82;0;192;79;147;143;3;98;195;149;107;78;96;98;168
ke 15 heinä 2015 22:00;37;40;0;150;29;97;61;0;42;118;98;75;26;63;57;102
ke 15 heinä 2015 23:00;20;24;0;58;19;53;35;2;42;68;69;62;29;47;55;50
to 16 heinä 2015 00:00;8;12;0;29;4;36;19;0;15;43;36;50;9;17;17;35
to 16 heinä 2015 01:00;3;9;0;14;4;18;4;1;4;17;36;28;5;7;22;27
to 16 heinä 2015 02:00;0;5;0;24;1;12;2;0;2;13;36;27;6;3;6;6
to 16 heinä 2015 03:00;4;3;0;9;0;5;2;0;1;9;7;13;2;4;4;4
to 16 heinä 2015 04:00;11;6;0;18;1;8;3;0;7;4;19;16;5;10;2;10
to 16 heinä 2015 05:00;19;9;0;33;6;19;15;1;19;17;13;13;10;33;5;23
to 16 heinä 2015 06:00;110;44;0;119;63;57;79;0;104;67;54;24;37;146;26;95
to 16 heinä 2015 07:00;168;95;0;191;133;163;147;1;168;151;109;30;88;238;76;191
to 16 heinä 2015 08:00;138;145;0;222;109;194;138;1;135;265;150;56;108;234;131;278
to 16 heinä 2015 09:00;82;102;0;135;78;146;121;0;90;189;165;58;76;138;108;201
to 16 heinä 2015 10:00;54;74;0;96;72;138;100;5;77;145;111;72;47;103;88;144
to 16 heinä 2015 11:00;46;92;0;157;60;135;117;1;80;142;150;66;71;139;131;140
to 16 heinä 2015 12:00;56;98;0;144;61;155;130;0;67;166;160;90;69;112;98;183
to 16 heinä 2015 13:00;51;98;0;201;52;130;162;2;80;165;174;100;59;117;132;136
to 16 heinä 2015 14:00;88;98;0;152;81;141;160;2;111;224;187;107;74;152;122;196
to 16 heinä 2015 15:00;164;200;0;286;110;197;209;0;203;261;226;136;96;278;164;229
to 16 heinä 2015 16:00;199;202;0;321;167;247;263;1;212;316;285;136;134;269;184;317
to 16 heinä 2015 17:00;134;145;0;265;142;292;191;3;163;310;254;119;146;238;185;293
to 16 heinä 2015 18:00;102;146;0;211;79;192;139;1;106;262;189;94;105;187;120;227
to 16 heinä 2015 19:00;59;87;0;165;86;211;174;2;96;183;172;120;100;83;127;182
to 16 heinä 2015 20:00;61;81;0;131;77;144;109;1;87;149;132;77;65;102;64;152
to 16 heinä 2015 21:00;29;65;0;98;47;109;87;0;69;110;115;72;57;71;57;98
to 16 heinä 2015 22:00;27;33;0;56;19;70;34;1;29;86;70;54;28;53;47;86
to 16 heinä 2015 23:00;12;26;0;38;9;35;21;0;17;57;33;47;15;34;26;36
pe 17 heinä 2015 00:00;3;14;0;25;1;22;12;0;11;19;39;46;10;16;13;22
pe 17 heinä 2015 01:00;5;12;0;17;7;12;7;0;7;14;18;20;5;7;8;10
pe 17 heinä 2015 02:00;3;2;0;12;1;8;4;0;2;12;10;18;3;8;7;5
pe 17 heinä 2015 03:00;1;2;0;7;2;8;1;0;0;6;8;6;1;4;2;5
pe 17 heinä 2015 04:00;9;3;0;12;1;3;1;0;1;3;10;4;7;5;3;2
pe 17 heinä 2015 05:00;19;6;0;26;4;21;12;0;13;12;6;6;7;32;2;16
pe 17 heinä 2015 06:00;72;27;0;90;38;50;57;1;55;56;36;16;30;82;24;72
pe 17 heinä 2015 07:00;98;74;0;126;76;98;130;1;103;112;71;16;56;151;59;127
pe 17 heinä 2015 08:00;40;46;0;69;33;66;43;0;46;94;52;13;46;83;43;104
pe 17 heinä 2015 09:00;20;34;0;35;11;45;31;0;25;78;48;34;35;45;51;79
pe 17 heinä 2015 10:00;28;52;0;48;15;58;33;1;25;66;76;27;27;65;43;71
pe 17 heinä 2015 11:00;17;37;0;60;29;82;51;0;42;87;96;39;31;54;73;91
pe 17 heinä 2015 12:00;31;48;0;60;27;101;41;2;46;98;105;54;36;61;76;90
pe 17 heinä 2015 13:00;43;70;0;120;36;108;92;0;50;126;130;68;52;100;116;123
pe 17 heinä 2015 14:00;81;83;0;141;57;128;170;4;92;178;163;103;49;138;96;135
pe 17 heinä 2015 15:00;110;111;0;209;86;181;174;5;127;198;164;125;61;142;129;182
pe 17 heinä 2015 16:00;93;124;0;217;89;202;152;2;109;222;181;125;88;159;163;205
pe 17 heinä 2015 17:00;67;76;0;189;68;168;124;4;84;169;171;84;75;107;99;171
pe 17 heinä 2015 18:00;46;95;0;169;41;147;94;10;51;150;158;97;64;88;102;135
pe 17 heinä 2015 19:00;32;50;0;142;37;114;83;0;55;144;95;80;52;65;56;107
pe 17 heinä 2015 20:00;47;48;0;100;44;108;62;3;58;91;101;58;39;70;62;116
pe 17 heinä 2015 21:00;26;37;0;104;34;64;57;2;56;90;74;54;35;62;39;66
pe 17 heinä 2015 22:00;20;29;0;90;16;37;41;5;29;84;57;43;30;45;27;63
pe 17 heinä 2015 23:00;12;26;0;50;10;50;29;6;23;50;47;42;11;25;37;29
la 18 heinä 2015 00:00;7;11;0;44;4;23;10;3;11;30;43;48;14;11;21;24
la 18 heinä 2015 01:00;3;3;0;27;2;17;7;0;5;18;50;29;6;8;23;12
la 18 heinä 2015 02:00;10;13;0;23;2;19;8;0;4;19;28;40;7;8;11;13
la 18 heinä 2015 03:00;1;5;0;11;2;11;2;0;4;19;14;19;6;6;10;11
la 18 heinä 2015 04:00;5;12;0;14;5;11;2;0;4;12;13;30;5;3;9;7
la 18 heinä 2015 05:00;2;4;0;7;4;7;4;0;5;4;5;14;2;2;3;6
la 18 heinä 2015 06:00;16;13;0;26;14;22;10;0;24;16;17;6;14;31;4;16
la 18 heinä 2015 07:00;17;18;0;29;16;35;24;0;25;21;17;15;12;40;16;24
la 18 heinä 2015 08:00;19;19;0;57;15;33;29;0;25;43;41;26;18;44;30;54
la 18 heinä 2015 09:00;41;46;0;82;36;90;48;3;39;96;54;40;39;73;33;88
la 18 heinä 2015 10:00;65;57;0;138;63;140;127;0;62;115;112;58;61;89;92;127
la 18 heinä 2015 11:00;70;96;0;216;83;185;154;5;87;222;144;73;74;114;90;177
la 18 heinä 2015 12:00;103;98;0;278;93;187;217;6;104;222;143;102;87;120;111;202
la 18 heinä 2015 13:00;94;98;0;260;117;215;231;2;126;192;201;94;85;132;136;186
la 18 heinä 2015 14:00;93;105;0;271;112;236;232;7;88;245;153;96;73;124;138;188
la 18 heinä 2015 15:00;91;111;0;269;86;156;268;5;97;249;172;113;107;172;130;205
la 18 heinä 2015 16:00;63;89;0;193;75;163;142;5;69;192;136;95;61;107;105;154
la 18 heinä 2015 17:00;30;57;0;103;33;94;55;1;56;92;86;42;40;84;60;69
la 18 heinä 2015 18:00;24;33;0;58;24;67;45;2;45;69;74;43;26;62;46;66
la 18 heinä 2015 19:00;12;9;0;29;16;34;25;5;26;25;33;24;18;30;15;35
la 18 heinä 2015 20:00;20;17;0;19;12;20;23;2;13;24;19;14;11;38;17;21
la 18 heinä 2015 21:00;12;10;0;36;13;21;15;0;17;13;19;22;14;15;14;19
la 18 heinä 2015 22:00;5;2;0;7;5;10;5;0;8;13;22;13;10;14;12;17
la 18 heinä 2015 23:00;4;11;0;19;2;16;9;0;4;12;27;10;8;9;17;13
su 19 heinä 2015 00:00;4;10;0;10;1;4;2;0;6;17;17;24;4;12;14;10
su 19 heinä 2015 01:00;6;4;0;12;2;7;3;2;1;14;11;14;4;8;9;10
su 19 heinä 2015 02:00;2;1;0;9;1;10;4;0;3;11;8;20;2;2;7;8
su 19 heinä 2015 03:00;0;7;0;10;0;5;3;0;0;13;8;13;4;0;6;7
su 19 heinä 2015 04:00;2;6;0;8;2;5;1;1;2;2;17;13;5;4;4;3
su 19 heinä 2015 05:00;0;5;0;11;3;7;5;0;5;0;4;7;0;3;3;1
su 19 heinä 2015 06:00;19;6;0;20;11;11;11;0;19;5;7;7;6;13;5;7
su 19 heinä 2015 07:00;15;6;0;23;7;14;21;1;24;11;12;11;6;29;4;18
su 19 heinä 2015 08:00;13;15;0;34;20;10;24;2;16;25;20;9;7;17;16;30
su 19 heinä 2015 09:00;23;27;0;57;21;58;51;2;29;57;34;19;22;50;48;53
su 19 heinä 2015 10:00;61;46;0;109;49;97;118;3;55;92;64;26;29;54;49;105
su 19 heinä 2015 11:00;57;79;0;162;66;230;144;2;56;141;116;54;46;110;83;134
su 19 heinä 2015 12:00;57;60;0;186;129;182;167;3;97;143;152;80;66;112;105;146
su 19 heinä 2015 13:00;88;130;0;244;101;141;212;5;91;216;142;53;79;132;84;169
su 19 heinä 2015 14:00;56;137;1;157;75;142;123;5;57;157;102;73;56;71;89;121
su 19 heinä 2015 15:00;53;53;0;145;62;130;144;3;98;147;110;68;58;82;87;113
su 19 heinä 2015 16:00;35;57;0;134;54;124;126;5;81;100;78;60;52;80;68;115
su 19 heinä 2015 17:00;45;65;0;140;49;118;120;1;73;121;89;60;56;83;60;131
su 19 heinä 2015 18:00;38;73;0;146;60;115;109;5;71;126;98;53;62;84;64;141
su 19 heinä 2015 19:00;25;57;0;112;32;84;121;1;75;122;64;47;42;81;45;101
su 19 heinä 2015 20:00;37;62;0;82;52;93;97;8;62;138;65;40;48;71;38;91
su 19 heinä 2015 21:00;31;34;0;76;47;57;78;2;54;72;47;56;29;50;28;60
su 19 heinä 2015 22:00;13;19;0;42;15;59;40;1;29;31;36;29;23;30;25;41
su 19 heinä 2015 23:00;7;10;0;28;5;36;9;0;12;37;36;25;20;11;14;21
ma 20 heinä 2015 00:00;8;6;0;16;5;18;11;0;10;17;23;20;4;12;7;22
ma 20 heinä 2015 01:00;5;4;1;8;1;6;1;0;3;10;12;6;1;7;3;8
ma 20 heinä 2015 02:00;3;4;1;7;0;10;2;0;2;4;1;9;1;1;2;8
ma 20 heinä 2015 03:00;2;1;0;7;0;4;0;0;1;1;7;9;1;1;3;4
ma 20 heinä 2015 04:00;4;1;0;4;2;5;2;0;3;2;5;2;3;4;3;4
ma 20 heinä 2015 05:00;18;11;0;33;5;19;18;0;18;20;10;16;11;34;7;24
ma 20 heinä 2015 06:00;95;32;0;105;60;71;70;0;86;79;56;15;36;125;24;90
ma 20 heinä 2015 07:00;166;74;0;201;93;137;145;1;162;138;92;26;69;226;67;167
ma 20 heinä 2015 08:00;149;118;0;198;86;135;124;1;132;219;148;47;93;223;107;236
ma 20 heinä 2015 09:00;68;86;0;151;64;114;78;2;77;185;117;46;85;123;110;176
ma 20 heinä 2015 10:00;41;57;0;89;48;96;73;0;53;114;92;49;42;65;67;12
ma 20 heinä 2015 11:00;34;29;0;94;37;109;49;0;40;58;72;40;37;52;59;20
ma 20 heinä 2015 12:00;47;43;0;94;24;113;62;1;47;91;106;62;50;76;67;96
ma 20 heinä 2015 13:00;36;73;0;75;43;107;101;2;64;114;103;65;43;79;99;118
ma 20 heinä 2015 14:00;66;111;0;149;49;133;82;0;74;146;169;85;64;113;115;129
ma 20 heinä 2015 15:00;160;133;0;234;114;196;190;1;160;241;180;84;78;190;131;236
ma 20 heinä 2015 16:00;173;181;1;284;145;227;261;4;201;280;279;120;119;272;202;301
ma 20 heinä 2015 17:00;157;150;0;264;146;236;228;6;165;320;233;110;138;225;176;321
ma 20 heinä 2015 18:00;96;124;0;189;115;214;165;2;116;243;201;98;107;154;109;200
ma 20 heinä 2015 19:00;62;94;1;167;64;157;168;6;103;201;157;91;93;99;95;183
ma 20 heinä 2015 20:00;59;69;0;162;83;140;135;4;88;178;121;88;72;99;75;147
ma 20 heinä 2015 21:00;50;51;0;139;52;99;125;7;75;122;110;76;70;76;69;103
ma 20 heinä 2015 22:00;20;39;0;61;27;56;57;1;41;74;63;37;30;49;40;68
ma 20 heinä 2015 23:00;12;16;0;17;11;37;21;1;18;50;50;29;27;26;15;22
ti 21 heinä 2015 00:00;3;7;0;15;4;14;11;2;10;7;31;21;4;7;11;11
ti 21 heinä 2015 01:00;4;5;0;9;2;15;7;0;5;7;8;9;2;10;6;8
ti 21 heinä 2015 02:00;3;3;0;7;0;4;1;0;0;9;4;5;8;4;4;4
ti 21 heinä 2015 03:00;4;3;0;3;1;2;2;0;2;1;2;2;1;4;1;3
ti 21 heinä 2015 04:00;5;1;0;10;1;4;4;1;1;1;3;4;2;4;0;2
ti 21 heinä 2015 05:00;17;9;0;35;9;18;15;0;13;18;10;9;6;42;6;27
ti 21 heinä 2015 06:00;111;39;0;146;83;68;81;3;114;96;55;20;56;137;28;114
ti 21 heinä 2015 07:00;202;107;0;264;149;177;151;2;232;176;129;25;111;312;82;225
ti 21 heinä 2015 08:00;189;168;0;245;139;203;190;1;166;291;189;65;135;286;152;295
ti 21 heinä 2015 09:00;88;119;0;161;100;152;139;2;105;241;164;55;91;140;123;221
ti 21 heinä 2015 10:00;59;77;0;177;76;167;140;6;97;184;131;59;81;85;107;176
ti 21 heinä 2015 11:00;88;117;0;228;99;200;212;9;106;240;145;85;103;150;143;216
ti 21 heinä 2015 12:00;70;117;0;238;96;213;223;1;121;204;191;99;87;142;170;190
ti 21 heinä 2015 13:00;84;113;0;254;122;231;248;0;118;230;193;95;82;152;158;227
ti 21 heinä 2015 14:00;95;123;0;294;180;243;262;3;130;259;192;124;99;147;157;227
ti 21 heinä 2015 15:00;173;196;0;449;177;232;414;1;240;358;240;148;127;283;192;299
ti 21 heinä 2015 16:00;243;241;0;464;225;328;336;0;276;453;344;155;199;356;243;403
ti 21 heinä 2015 17:00;171;229;0;437;219;355;361;4;248;409;262;158;171;265;187;413
ti 21 heinä 2015 18:00;147;193;0;339;136;270;281;3;173;340;223;102;145;202;153;315
ti 21 heinä 2015 19:00;83;124;0;248;104;223;234;0;147;242;178;105;119;144;112;213
ti 21 heinä 2015 20:00;75;79;0;185;89;179;165;2;96;172;141;82;72;119;70;180
ti 21 heinä 2015 21:00;57;106;0;121;58;131;138;6;84;157;119;59;71;127;55;138
ti 21 heinä 2015 22:00;24;20;0;67;27;63;42;0;41;80;57;48;30;50;36;65
ti 21 heinä 2015 23:00;18;18;0;30;6;31;16;0;19;33;43;36;18;31;19;28
ke 22 heinä 2015 00:00;7;15;0;15;4;20;6;0;7;28;19;33;15;20;14;12
ke 22 heinä 2015 01:00;3;4;0;21;0;9;7;0;3;6;9;14;5;6;2;6
ke 22 heinä 2015 02:00;4;3;0;3;1;6;1;0;4;4;12;2;4;4;1;4
ke 22 heinä 2015 03:00;2;0;0;3;0;1;2;0;1;3;2;12;0;0;1;2
ke 22 heinä 2015 04:00;6;0;0;5;2;0;0;0;2;1;2;4;4;2;2;0
ke 22 heinä 2015 05:00;10;2;0;24;3;8;6;0;10;15;6;7;6;30;5;8
ke 22 heinä 2015 06:00;58;16;0;53;32;33;42;0;53;40;33;7;15;80;7;35
ke 22 heinä 2015 07:00;75;44;0;98;52;71;90;0;83;85;51;12;41;108;24;78
ke 22 heinä 2015 08:00;67;48;0;90;45;88;54;0;63;96;56;18;39;95;56;90
ke 22 heinä 2015 09:00;28;49;0;55;25;85;55;0;45;92;78;19;31;52;62;89
ke 22 heinä 2015 10:00;21;59;0;50;28;77;39;0;20;62;65;39;26;42;43;50
ke 22 heinä 2015 11:00;24;44;0;57;20;88;49;0;40;81;79;45;21;42;64;73
ke 22 heinä 2015 12:00;30;57;0;60;26;60;53;0;33;135;69;53;26;60;70;24
ke 22 heinä 2015 13:00;39;52;0;64;79;99;45;2;41;112;87;49;45;57;78;51
ke 22 heinä 2015 14:00;50;81;0;91;87;86;74;1;61;107;115;102;41;80;87;64
ke 22 heinä 2015 15:00;83;81;0;154;62;214;123;0;116;115;166;80;52;103;104;93
ke 22 heinä 2015 16:00;129;103;0;171;89;158;131;2;127;225;168;91;84;165;132;104
ke 22 heinä 2015 17:00;77;134;0;151;86;163;163;1;123;183;199;106;94;128;118;80
ke 22 heinä 2015 18:00;76;88;0;145;64;182;131;1;105;206;164;118;71;92;114;166
ke 22 heinä 2015 19:00;68;107;0;150;72;151;173;0;93;154;131;91;87;94;87;150
ke 22 heinä 2015 20:00;48;86;0;130;64;137;151;3;85;142;121;93;65;88;88;30
ke 22 heinä 2015 21:00;38;60;0;115;67;131;124;1;80;139;95;86;46;72;66;89
ke 22 heinä 2015 22:00;31;33;0;66;19;72;46;0;38;61;70;48;25;43;38;73
ke 22 heinä 2015 23:00;13;27;0;52;9;38;29;0;18;36;37;25;12;19;38;7
to 23 heinä 2015 00:00;1;19;0;28;8;16;5;0;9;27;29;22;11;10;18;17
to 23 heinä 2015 01:00;5;7;0;17;0;16;5;0;5;22;33;19;6;9;16;9
to 23 heinä 2015 02:00;3;3;0;7;1;10;1;0;6;11;13;28;7;5;6;3
to 23 heinä 2015 03:00;4;10;0;6;0;9;4;0;2;10;8;12;9;4;3;7
to 23 heinä 2015 04:00;9;6;0;7;2;6;5;0;6;8;12;9;13;7;1;3
to 23 heinä 2015 05:00;15;7;1;39;6;14;12;0;11;21;11;12;7;36;7;3
to 23 heinä 2015 06:00;105;43;0;91;61;56;75;0;91;71;45;18;36;129;19;57
to 23 heinä 2015 07:00;147;82;0;187;110;131;155;0;152;143;96;26;77;212;70;121
to 23 heinä 2015 08:00;146;120;0;179;121;147;87;1;114;223;136;43;95;216;116;173
to 23 heinä 2015 09:00;66;104;0;128;63;131;55;0;83;173;134;47;59;131;112;45
to 23 heinä 2015 10:00;57;59;0;110;59;94;84;3;58;120;98;63;40;64;74;31
to 23 heinä 2015 11:00;45;63;0;157;65;122;82;3;72;147;135;70;62;81;91;117
to 23 heinä 2015 12:00;58;75;0;141;54;132;107;1;67;127;124;86;39;86;89;97
to 23 heinä 2015 13:00;65;95;0;138;59;133;71;3;63;158;122;95;74;103;110;138
to 23 heinä 2015 14:00;79;81;0;163;80;151;139;0;87;168;165;86;57;115;92;111
to 23 heinä 2015 15:00;173;142;0;250;107;184;204;0;179;209;215;114;103;239;135;184
to 23 heinä 2015 16:00;180;177;0;263;132;215;187;4;186;329;270;131;128;252;185;296
to 23 heinä 2015 17:00;105;155;0;226;96;193;150;1;122;273;224;131;102;186;158;180
to 23 heinä 2015 18:00;56;74;0;119;57;127;85;1;82;173;170;79;68;122;96;132
to 23 heinä 2015 19:00;57;70;0;111;43;107;67;2;63;154;127;63;63;82;68;65
to 23 heinä 2015 20:00;48;62;0;93;41;101;79;2;74;122;110;71;53;54;54;55
to 23 heinä 2015 21:00;45;36;0;79;26;68;52;1;56;97;77;73;44;63;49;18
to 23 heinä 2015 22:00;24;36;0;56;17;37;27;0;34;73;40;57;33;52;41;14
to 23 heinä 2015 23:00;8;24;0;26;7;36;18;1;16;36;40;39;17;22;35;28
pe 24 heinä 2015 00:00;3;17;0;22;1;17;6;0;11;14;30;26;7;7;15;10
pe 24 heinä 2015 01:00;2;12;0;11;2;16;7;0;8;14;20;14;6;7;10;2
pe 24 heinä 2015 02:00;4;5;0;12;0;7;1;0;0;9;17;11;4;2;13;1
pe 24 heinä 2015 03:00;1;1;0;7;0;4;4;0;2;2;5;9;1;6;5;0
pe 24 heinä 2015 04:00;6;5;0;13;3;10;2;0;2;4;13;3;3;6;2;2
pe 24 heinä 2015 05:00;14;6;0;36;5;13;9;1;9;9;11;10;9;34;9;8
pe 24 heinä 2015 06:00;99;35;0;98;44;57;58;1;88;46;47;18;33;114;8;42
pe 24 heinä 2015 07:00;137;58;0;157;101;123;117;1;149;128;87;22;61;207;63;121
pe 24 heinä 2015 08:00;125;109;0;179;73;121;85;1;110;204;133;37;68;204;107;169
pe 24 heinä 2015 09:00;72;93;0;149;56;153;107;1;78;159;132;53;85;112;100;102
pe 24 heinä 2015 10:00;59;74;0;159;61;134;100;0;76;143;107;66;60;93;92;96
pe 24 heinä 2015 11:00;44;87;1;138;55;131;95;3;71;147;142;78;55;97;125;132
pe 24 heinä 2015 12:00;71;64;0;145;39;169;130;2;89;167;128;78;39;140;110;78
pe 24 heinä 2015 13:00;62;85;0;195;62;130;135;4;90;166;176;104;60;121;161;98
pe 24 heinä 2015 14:00;94;104;0;186;71;181;150;4;127;200;195;114;72;137;164;146
pe 24 heinä 2015 15:00;154;123;0;239;109;196;220;4;164;241;193;103;92;206;152;140
pe 24 heinä 2015 16:00;150;137;0;224;126;202;197;5;184;274;266;128;121;210;178;225
pe 24 heinä 2015 17:00;86;109;0;201;99;188;148;4;122;217;211;113;107;152;156;174
pe 24 heinä 2015 18:00;73;76;0;169;68;170;137;2;116;229;164;100;66;117;115;171
pe 24 heinä 2015 19:00;55;79;0;161;56;153;125;1;89;163;141;102;50;109;73;100
pe 24 heinä 2015 20:00;45;75;0;123;75;117;103;1;59;129;108;82;52;90;83;44
